,Year,Period,civilian noninstitutional population,labor force participation rate,Employment Rate,labor force,employment,unemployment,Unemployment Rate,date
0,2013,Jan,7846618,62.9,56.0,4933076,4397434,535642,10.9,2013-01
1,2013,Feb,7852047,63.0,56.6,4947961,4440687,507274,10.3,2013-02
2,2013,Mar,7857778,62.6,56.5,4919424,4435904,483520,9.8,2013-03
3,2013,Apr,7863789,62.8,56.9,4940090,4475756,464334,9.4,2013-04
4,2013,May,7869497,63.0,57.0,4960904,4487059,473845,9.6,2013-05
5,2013,Jun,7875230,63.2,56.7,4973838,4466099,507739,10.2,2013-06
6,2013,Jul,7880947,63.2,56.6,4983447,4458888,524559,10.5,2013-07
7,2013,Aug,7886029,63.0,56.6,4967266,4466761,500505,10.1,2013-08
8,2013,Sep,7891167,63.4,57.3,5004374,4525437,478937,9.6,2013-09
9,2013,Oct,7896218,62.7,56.7,4950605,4480378,470227,9.5,2013-10
10,2013,Nov,7901056,62.8,57.2,4960556,4516663,443893,8.9,2013-11
11,2013,Dec,7906163,62.3,57.0,4928127,4505731,422396,8.6,2013-12
12,2014,Jan,7911512,62.4,56.8,4932920,4491792,441128,8.9,2014-01
13,2014,Feb,7916178,62.7,57.2,4966462,4528375,438087,8.8,2014-02
14,2014,Mar,7921149,62.9,57.4,4979418,4549866,429552,8.6,2014-03
15,2014,Apr,7926399,62.6,57.7,4959500,4574751,384749,7.8,2014-04
16,2014,May,7931353,62.6,57.6,4965151,4566978,398173,8.0,2014-05
17,2014,Jun,7936313,62.5,57.4,4962997,4553287,409710,8.3,2014-06
18,2014,Jul,7941258,63.0,57.4,5003595,4554827,448768,9.0,2014-07
19,2014,Aug,7946144,62.8,57.4,4992582,4558501,434081,8.7,2014-08
20,2014,Sep,7951022,63.2,58.1,5025054,4621530,403524,8.0,2014-09
21,2014,Oct,7955896,62.9,58.0,5001432,4610767,390665,7.8,2014-10
22,2014,Nov,7960531,63.0,58.2,5015346,4632201,383145,7.6,2014-11
23,2014,Dec,7965412,62.6,58.0,4984485,4623173,361312,7.2,2014-12
24,2015,Jan,7970565,62.7,57.8,4998661,4606821,391840,7.8,2015-01
25,2015,Feb,7975025,62.8,58.1,5006806,4634817,371989,7.4,2015-02
26,2015,Mar,7979779,62.5,58.0,4985341,4630585,354756,7.1,2015-03
27,2015,Apr,7984810,62.6,58.3,4995691,4656778,338913,6.8,2015-04
28,2015,May,7989559,62.7,58.4,5009124,4664970,344154,6.9,2015-05
29,2015,Jun,7994292,62.1,57.8,4966491,4623115,343376,6.9,2015-06
30,2015,Jul,7999045,62.3,57.7,4979621,4618980,360641,7.2,2015-07
31,2015,Aug,8002639,61.6,57.5,4931874,4599032,332842,6.7,2015-08
32,2015,Sep,8006257,61.8,58.0,4949908,4645244,304664,6.2,2015-09
33,2015,Oct,8009856,61.7,58.1,4945012,4650729,294283,6.0,2015-10
34,2015,Nov,8013179,62.1,58.6,4975723,4692824,282899,5.7,2015-11
35,2015,Dec,8016801,61.6,58.2,4940815,4668747,272068,5.5,2015-12
36,2016,Jan,8020680,61.9,58.3,4961623,4675665,285958,5.8,2016-01
37,2016,Feb,8023866,62.3,58.9,5000463,4726391,274072,5.5,2016-02
38,2016,Mar,8027345,62.3,59.0,5003700,4739281,264419,5.3,2016-03
39,2016,Apr,8031060,62.3,59.2,5004059,4753047,251012,5.0,2016-04
40,2016,May,8034531,62.1,59.1,4990487,4750214,240273,4.8,2016-05
41,2016,Jun,8038025,62.2,58.8,4996938,4725065,271873,5.4,2016-06
42,2016,Jul,8041476,62.8,59.1,5047730,4752593,295137,5.8,2016-07
43,2016,Aug,8043601,62.4,58.8,5020760,4732734,288026,5.7,2016-08
44,2016,Sep,8045694,63.1,59.6,5074790,4795101,279689,5.5,2016-09
45,2016,Oct,8047834,62.7,59.3,5042943,4775156,267787,5.3,2016-10
46,2016,Nov,8049641,62.8,59.7,5055908,4806409,249499,4.9,2016-11
47,2016,Dec,8051768,62.4,59.4,5027638,4782846,244792,4.9,2016-12
48,2017,Jan,8069095,62.8,59.4,5065253,4796355,268898,5.3,2017-01
49,2017,Feb,8070994,63.3,60.1,5111439,4852845,258594,5.1,2017-02
50,2017,Mar,8073161,63.4,60.4,5120580,4880017,240563,4.7,2017-03
51,2017,Apr,8075594,63.3,60.4,5109231,4880002,229229,4.5,2017-04
52,2017,May,8077722,63.1,60.3,5096976,4870869,226107,4.4,2017-05
53,2017,Jun,8079891,62.9,59.9,5086085,4839704,246381,4.8,2017-06
54,2017,Jul,8082058,63.5,60.1,5134456,4856570,277886,5.4,2017-07
55,2017,Aug,8082245,63.1,59.7,5096249,4823458,272791,5.4,2017-08
56,2017,Sep,8082473,63.8,60.8,5159818,4913451,246367,4.8,2017-09
57,2017,Oct,8082675,63.3,60.4,5114953,4883230,231723,4.5,2017-10
58,2017,Nov,8082602,63.5,60.7,5133365,4906231,227134,4.4,2017-11
59,2017,Dec,8082807,63.0,60.2,5089316,4866704,222612,4.4,2017-12
60,2018,Jan,8083294,63.1,60.0,5102327,4851622,250705,4.9,2018-01
61,2018,Feb,8083073,63.7,60.7,5150589,4908645,241944,4.7,2018-02
62,2018,Mar,8083148,63.7,60.9,5148384,4919162,229222,4.5,2018-03
63,2018,Apr,8083505,63.4,60.7,5123280,4903424,219856,4.3,2018-04
64,2018,May,8083566,63.2,60.5,5105194,4892749,212445,4.2,2018-05
65,2018,Jun,8083634,63.1,60.0,5101631,4851668,249963,4.9,2018-06
66,2018,Jul,8083694,63.6,60.3,5140320,4873980,266340,5.2,2018-07
67,2018,Aug,8082511,62.8,59.5,5071805,4812575,259230,5.1,2018-08
68,2018,Sep,8081356,63.4,60.4,5119732,4883925,235807,4.6,2018-09
69,2018,Oct,8080177,63.3,60.4,5114827,4882232,232595,4.5,2018-10
70,2018,Nov,8078736,63.7,60.9,5145520,4921084,224436,4.4,2018-11
71,2018,Dec,8077562,63.3,60.5,5114542,4886874,227668,4.5,2018-12
72,2019,Jan,8076657,63.5,60.4,5131043,4875398,255645,5.0,2019-01
73,2019,Feb,8075064,63.6,60.8,5138358,4910945,227413,4.4,2019-02
74,2019,Mar,8073770,63.5,60.7,5129647,4899262,230385,4.5,2019-03
75,2019,Apr,8072756,63.0,60.4,5085715,4877504,208211,4.1,2019-04
76,2019,May,8071425,63.4,60.8,5117433,4909419,208014,4.1,2019-05
77,2019,Jun,8070116,63.2,60.3,5097671,4864932,232739,4.6,2019-06
78,2019,Jul,8068815,63.9,60.7,5155471,4898718,256753,5.0,2019-07
79,2019,Aug,8066199,63.5,60.4,5122018,4873233,248785,4.9,2019-08
80,2019,Sep,8063635,64.5,61.6,5197257,4968601,228656,4.4,2019-09
81,2019,Oct,8061030,64.3,61.4,5182764,4953117,229647,4.4,2019-10
82,2019,Nov,8058160,65.1,62.3,5245158,5023312,221846,4.2,2019-11
83,2019,Dec,8055557,64.8,62.0,5216016,4995534,220482,4.2,2019-12
84,2020,Jan,8053271,65.4,62.2,5268397,5008947,259450,4.9,2020-01
85,2020,Feb,8050254,65.8,62.6,5296024,5037619,258405,4.9,2020-02
86,2020,Mar,8047549,62.4,58.2,5022339,4685224,337115,6.7,2020-03
87,2020,Apr,8076351,59.1,49.1,4773861,3964301,809560,17.0,2020-04
88,2020,May,8064400,58.1,47.0,4683090,3793695,889395,19.0,2020-05
89,2020,Jun,8052405,61.1,50.2,4920398,4042822,877576,17.8,2020-06
90,2020,Jul,8040457,62.8,51.1,5047260,4106297,940963,18.6,2020-07
91,2020,Aug,8031268,62.7,52.1,5038699,4180749,857950,17.0,2020-08
92,2020,Sep,8022048,60.1,53.3,4823991,4276753,547238,11.3,2020-09
93,2020,Oct,8012827,60.8,54.4,4869275,4362860,506415,10.4,2020-10
94,2020,Nov,8003379,61.3,54.9,4902789,4395343,507446,10.4,2020-11
95,2020,Dec,7994160,61.0,54.4,4877939,4351494,526445,10.8,2020-12
96,2021,Jan,7985229,61.3,54.6,4895881,4358505,537376,11.0,2021-01
97,2021,Feb,7975641,62.4,55.9,4976240,4455056,521184,10.5,2021-02
98,2021,Mar,7966265,62.7,56.2,4991495,4473596,517899,10.4,2021-03
99,2021,Apr,7957228,62.8,56.4,4995916,4485635,510281,10.2,2021-04
100,2021,May,7947879,62.8,56.9,4993267,4523745,469522,9.4,2021-05
101,2021,Jun,7938532,62.9,56.6,4989591,4494146,495445,9.9,2021-06
102,2021,Jul,7929192,63.5,57.4,5033302,4553067,480235,9.5,2021-07
103,2021,Aug,7926015,62.9,57.3,4985861,4540186,445675,8.9,2021-08
104,2021,Sep,7922810,63.2,58.3,5004482,4618625,385857,7.7,2021-09
105,2021,Oct,7919626,63.3,58.7,5009265,4646653,362612,7.2,2021-10
106,2021,Nov,7916161,63.7,59.6,5044623,4720492,324131,6.4,2021-11
107,2021,Dec,7912967,63.2,59.4,5001852,4701620,300232,6.0,2021-12
108,2022,Jan,7910056,63.7,59.5,5035535,4707533,328002,6.5,2022-01
109,2022,Feb,7906452,64.1,60.4,5065387,4772698,292689,5.8,2022-02
110,2022,Mar,7903120,63.9,60.6,5051030,4790465,260565,5.2,2022-03
111,2022,Apr,7900075,63.3,60.3,5000847,4761695,239152,4.8,2022-04
112,2022,May,7896749,63.2,60.3,4987130,4763298,223832,4.5,2022-05
113,2022,Jun,7893405,62.5,59.5,4935287,4694769,240518,4.9,2022-06
114,2022,Jul,7890088,62.8,59.8,4957468,4716142,241326,4.9,2022-07
115,2022,Aug,7886536,62.5,59.6,4927912,4697244,230668,4.7,2022-08
116,2022,Sep,7882998,62.9,60.2,4958064,4744505,213559,4.3,2022-09
117,2022,Oct,7879433,62.8,59.9,4947566,4723562,224004,4.5,2022-10
118,2022,Nov,7875618,63.3,60.4,4986416,4760132,226284,4.5,2022-11
119,2022,Dec,7872064,63.1,60.3,4965511,4747043,218468,4.4,2022-12
120,2023,Jan,7868810,63.3,60.2,4982143,4736443,245700,4.9,2023-01
121,2023,Feb,7864804,64.1,60.7,5042749,4777500,265249,5.3,2023-02
